slug,name_display,source_format,original_preserved,raw_path,thumb_path,normalized_path,hires_path,output_format,status,notes
jumping-jack,Jumping Jack,png,yes,assets/exercises/Jumping Jack.png,assets/exercises/thumbs/jumping-jack.webp,assets/exercises/normalized/jumping-jack.webp,assets/exercises/hires/jumping-jack.webp,webp,ok,519KB → norm: 28KB (-95%)
kettlebell-swing,Kettlebell Swing,png,yes,assets/exercises/Kettlebell Swing.png,assets/exercises/thumbs/kettlebell-swing.webp,assets/exercises/normalized/kettlebell-swing.webp,assets/exercises/hires/kettlebell-swing.webp,webp,ok,291KB → norm: 63KB (-78%)
l-sit,L-Sit,png,yes,assets/exercises/L-Sit.png,assets/exercises/thumbs/l-sit.webp,assets/exercises/normalized/l-sit.webp,assets/exercises/hires/l-sit.webp,webp,ok,208KB → norm: 29KB (-86%)
landmine-press,Landmine Press,png,yes,assets/exercises/Landmine Press.png,assets/exercises/thumbs/landmine-press.webp,assets/exercises/normalized/landmine-press.webp,assets/exercises/hires/landmine-press.webp,webp,ok,1340KB → norm: 50KB (-96%)
lat-pulldown,Lat Pulldown,png,yes,assets/exercises/Lat Pulldown.png,assets/exercises/thumbs/lat-pulldown.webp,assets/exercises/normalized/lat-pulldown.webp,assets/exercises/hires/lat-pulldown.webp,webp,ok,1615KB → norm: 318KB (-80%)
lateral-raise,Lateral Raise,png,yes,assets/exercises/Lateral Raise.png,assets/exercises/thumbs/lateral-raise.webp,assets/exercises/normalized/lateral-raise.webp,assets/exercises/hires/lateral-raise.webp,webp,ok,218KB → norm: 28KB (-87%)
leg-curl,Leg Curl,png,yes,assets/exercises/Leg Curl.png,assets/exercises/thumbs/leg-curl.webp,assets/exercises/normalized/leg-curl.webp,assets/exercises/hires/leg-curl.webp,webp,ok,1106KB → norm: 30KB (-97%)
leg-extension,Leg Extension,png,yes,assets/exercises/Leg Extension.png,assets/exercises/thumbs/leg-extension.webp,assets/exercises/normalized/leg-extension.webp,assets/exercises/hires/leg-extension.webp,webp,ok,3005KB → norm: 179KB (-94%)
leg-press,Leg Press,png,yes,assets/exercises/Leg Press.png,assets/exercises/thumbs/leg-press.webp,assets/exercises/normalized/leg-press.webp,assets/exercises/hires/leg-press.webp,webp,ok,4573KB → norm: 178KB (-96%)
leg-raise,Leg Raise,png,yes,assets/exercises/Leg Raise.png,assets/exercises/thumbs/leg-raise.webp,assets/exercises/normalized/leg-raise.webp,assets/exercises/hires/leg-raise.webp,webp,ok,153KB → norm: 14KB (-91%)
